no,entidad_federativa,anio,evento,tipo_fenomeno,instancia_corroboradora,documento_corroboracion,nombre_municipios_corroborados,numero_municipios_corroborados,instalacion_ced,sectores_afectados,fecha_publicacion_dof,publicacion_dof,entrega_resultados_ced,limite_para_entregar_diagnostico,oficio_entrega,observaciones,ultima_fecha_actualizacion
1,Jalisco,2019,Inundación fluvial el dos de junio de 2019,Hidrometeorológico,CONAGUA,B00.8.02.-085,San Gabriel,1,07/06/2019,"Educativo, Forestal y de Viveros, Hidráulico, Vial Urbano y Vivienda",18060,https://www.dof.gob.mx/nota_detalle.php?codigo=5562608&fecha=13/06/2019,18081,18092,SSPC/SPPPCCP/CNPC/DGGR/0007/2019; SSPC/SPPPCCP/CNPC/DGGR/0048/2019; SSPC/SPPPCCP/CNPC/DGGR/0034/2019; SSPC/SPPPCCP/CNPC/DGGR/0026/2019;,sin dato,2020
2,Tamaulipas,2019,Inundación fluvial y pluvial el 24 de junio de 2019,Hidrometeorológico,CONAGUA,B00.8.02.-117,Reynosa,1,28/06/2019,Educativo e Hidráulico,18081,https://www.dof.gob.mx/nota_detalle.php?codigo=5564906&fecha=04/07/2019,18102,18113,SSPC/SPPPCCP/CNPC/DGGR/0142/2019; SSPC/SPPPCCP/CNPC/DGGR/0228/2019,sin dato,2020
3,Chiapas,2019,Lluvia severa ocurrida el 17 de agosto de 2019,Hidrometeorológico,CONAGUA,B00.8.-586,Huixtla,1,26/08/2019,"Carretero, Educativo, Hidráulico, Pesquero y Acuícola, Vial Urbano y Vivienda",18138,https://www.dof.gob.mx/nota_detalle.php?codigo=5570849&fecha=30/08/2019,18145,18157,SSPC/SPPPCCP/CNPC/DGGR/0713/2019; SSPC/SPPPCCP/CNPC/DGGR/0575/2019,sin dato,2020
4,Veracruz,2019,Movimiento de ladera el 23 de agosto de 2019,Geológico,CENAPRED,E00-DG/1576/2019,Acultzingo,1,30/08/2019,"Forestal y de Viveros, Vial Urbano y Vivienda",18144,https://www.dof.gob.mx/nota_detalle.php?codigo=5571330&fecha=05/09/2019,18166,18177,SSPC/SPPPCCP/CNPC/DGGR/01143/2019; SSPC/SPPPCCP/CNPC/DGGR/01110/2019,sin dato,2020
5,Nuevo León,2019,Lluvia severa e inundación pluvial y fluvial el 4 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-604,"Abasolo, Allende, Apodaca, Bustamante, Cadereyta de Jiménez, El Carmen, China, Ciénega de Flores, Doctor González, Galeana, García, General Bravo, General Escobedo, General Terán, General Zuazua, Guadalupe, Higueras, Hidalgo, Hualahuises, Iturbide, Juárez, Linares, Los Ramones, Marín, Mina, Montemorelos, Monterrey, Pesquería, Rayones, Salinas Victoria, San Nicolás de los Garza, San Pedro Garza García, Santa Catarina, Santiago",34,13/09/2019,"Carretero, Educativo, Salud, Vial Urbano y Vivienda",18159,https://www.dof.gob.mx/nota_detalle.php?codigo=5573052&fecha=20/09/2019,18180,18191,SSPC/SPPPCCP/CNPC/DGGR/01286/2019; SSPC/SPPPCCP/CNPC/DGGR/01210/2019; SSPC/SPPPCCP/CNPC/DGGR/01297/2019; SSPC/SPPPCCP/CNPC/DGGR/01258/2019,sin dato,2020
6,Chiapas,2019,Inundación fluvial el 16 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-613,Tapachula,1,19/09/2019,"Carretero, Educattivo, Hidráulico, Naval, Vial Urbano",18164,https://www.dof.gob.mx/nota_detalle.php?codigo=5573466&fecha=25/09/2019,18171,18180,SSPC/SPPPCCP/CNPC/DGGR/01083/2019; SSPC/SPPPCCP/CNPC/DGGR/01142/2019; SSPC/SPPPCCP/CNPC/DGGR/01032/2019,sin dato,2020
7,Chiapas,2019,Inundación fluvial el 18 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-622,Acapetahua,1,24/09/2019,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18169,https://www.dof.gob.mx/nota_detalle.php?codigo=5573846&fecha=30/09/2019,18190,18199,SSPC/SPPPCCP/CNPC/DGGR/01344/2019; SSPC/SPPPCCP/CNPC/DGGR/01334/2019; SSPC/SPPPCCP/CNPC/DGGR/01429/2019; SSPC/SPPPCCP/CNPC/DGGR/01319/2019,sin dato,2020
8,Colima,2019,Lluvia severa e inundación fluvial y pluvial del 18 al 19 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-623,"Armería, Manzanillo, Minatitlán y Tecomán",4,25/09/2019,"Educativo, Naval, Vial Urbano y Vivienda",18170,https://www.dof.gob.mx/nota_detalle.php?codigo=5573927&fecha=01/10/2019,18191,18200,SSPC/SPPPCCP/CNPC/DGGR/01340/2019; SSPC/SPPPCCP/CNPC/DGGR/01320/2019,sin dato,2020
9,Baja California Sur,2019,Huracán Lorena (Lluvia severa y vientos fuertes) el 20 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-624,Los Cabos y La Paz,2,25/09/2019,"Carretero, Educativo y Naval",18170,https://www.dof.gob.mx/nota_detalle.php?codigo=5573926&fecha=01/10/2019,18177,18186,SSPC/SPPPCCP/CNPC/DGGR/001173/2019; SSPC/SPPPCCP/CNPC/DGGR/001112/2019,sin dato,2020
10,Jalisco,2019,Huracán Lorena (lluvia severa) el 18 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-629,"Cihuatlán, Cuautitlán de García Barragán, La Huerta, Tomatlán, Villa Purificación",5,30/09/2019,"Carretero, Educativo, Hidráulico, Naval, Vial Urbano y Vivienda",18173,https://www.dof.gob.mx/nota_detalle.php?codigo=5574425&fecha=04/10/2019,18194,18205,SSPC/SPPPCCP/CNPC/DGGR/01617/2019; SSPC/SPPPCCP/CNPC/DGGR/01659/2019; SSPC/SPPPCCP/CNPC/DGGR/01388/2019,sin dato,2020
